iter	Passed	Remaining
0	9	9184
1	15	7824
2	25	8331
3	31	7802
4	37	7386
5	49	8234
6	61	8654
7	67	8398
8	78	8688
9	85	8453
10	95	8577
11	101	8343
12	111	8442
13	117	8260
14	125	8254
15	131	8089
16	141	8169
17	147	8028
18	156	8095
19	163	8019
20	172	8026
21	178	7935
22	184	7841
23	193	7853
24	199	7771
25	208	7800
26	214	7726
27	223	7769
28	229	7687
29	238	7721
30	245	7676
31	255	7729
32	261	7670
33	273	7763
34	288	7941
35	297	7972
36	311	8101
37	321	8126
38	327	8072
39	340	8160
40	346	8109
41	357	8147
42	363	8084
43	373	8118
44	379	8054
45	387	8027
46	393	7970
47	401	7971
48	408	7920
49	413	7865
50	422	7856
51	428	7804
52	437	7809
53	443	7761
54	451	7760
55	457	7710
56	463	7664
57	473	7682
58	479	7640
59	489	7667
60	495	7622
61	504	7631
62	510	7589
63	518	7583
64	524	7541
65	533	7546
66	539	7508
67	547	7502
68	553	7471
69	559	7438
70	569	7454
71	575	7419
72	583	7411
73	589	7376
74	598	7377
75	604	7343
76	609	7308
77	618	7311
78	624	7275
79	632	7270
80	637	7238
81	645	7227
82	651	7198
83	656	7163
84	666	7170
85	671	7137
86	679	7130
87	685	7100
88	691	7073
89	699	7077
90	705	7048
91	713	7041
92	719	7016
93	728	7019
94	735	7008
95	741	6981
96	748	6969
97	754	6947
98	765	6967
99	771	6944
100	782	6969
101	793	6984
102	800	6974
103	810	6981
104	817	6968
105	827	6977
106	835	6971
107	844	6976
108	851	6960
109	860	6959
110	866	6935
111	878	6969
112	886	6957
113	897	6976
114	905	6970
115	912	6957
116	918	6933
117	929	6945
118	934	6919
119	944	6926
120	949	6900
121	960	6910
122	966	6893
123	976	6897
124	981	6873
125	993	6890
126	999	6867
127	1009	6878
128	1015	6854
129	1027	6874
130	1033	6857
131	1045	6877
132	1058	6901
133	1066	6893
134	1145	7338
135	1162	7382
136	1181	7441
137	1210	7563
138	1238	7674
139	1244	7645
140	1253	7635
141	1259	7607
142	1265	7582
143	1274	7575
144	1280	7548
145	1291	7554
146	1297	7530
